country,latitude,longitude,RESCHEDULING_AND_REFINANCING,Air_transport,Industrial_development,Rail_transport,Power_generation_non_renewable_sources,data2,total 
Poland,51.919438,19.145136,16,15,60,6,5,16-15-60-6-5,102
Canada,56.130366,-106.346771,0,19,1,0,0,0-19-1-0-0,20
Brazil,-14.235004,-51.92528,3,51,185,34,24,3-51-185-34-24,297
India,20.593684,78.96288,0,53,489,97,108,0-53-489-97-108,747
Saudi Arabia,23.885942,45.079162,0,5,21,1,10,0-5-21-1-10,37
Korea,37.663998,127.978462,0,18,104,7,6,0-18-104-7-6,135
Italy,41.87194,12.56738,0,5,0,0,0,0-5-0-0-0,5
Thailand,15.870032,100.992541,0,47,183,51,28,0-47-183-51-28,309
Australia,-25.274398,133.775136,0,21,1,1,0,0-21-1-1-0,23
Qatar,25.354826,51.183884,0,0,1,0,1,0-0-1-0-1,2
United Kingdom,55.378051,-3.435973,0,4,0,0,0,0-4-0-0-0,4
Japan,36.204824,138.252924,0,11,0,0,0,0-11-0-0-0,11
Taiwan,23.69781,120.960515,0,8,41,1,0,0-8-41-1-0,50
Colombia,4.570868,-74.297333,0,26,131,8,25,0-26-131-8-25,190
Luxembourg,49.815273,6.129583,0,3,0,0,0,0-3-0-0-0,3
South Africa,-30.559482,22.937506,0,16,121,5,14,0-16-121-5-14,156
Greece,39.074208,21.824312,0,2,2,0,1,0-2-2-0-1,5
Kuwait,29.31166,47.481766,0,0,1,0,1,0-0-1-0-1,2
Ireland,53.41291,-8.24389,0,4,3,0,2,0-4-3-0-2,9
Romania,45.943161,24.96676,0,7,34,7,5,0-7-34-7-5,53
Chile,-35.675147,-71.542969,0,23,85,12,5,0-23-85-12-5,125
Austria,47.516231,14.550072,0,6,0,0,0,0-6-0-0-0,6
Hungary,47.162494,19.503304,0,2,16,2,6,0-2-16-2-6,26
New Zealand,-40.900557,174.885971,0,2,1,0,0,0-2-1-0-0,3
Czech Republic,49.817492,15.472962,0,8,20,5,11,0-8-20-5-11,44
Spain,40.463667,-3.74922,0,1,1,0,12,0-1-1-0-12,14
Belgium,50.503887,4.469936,0,2,0,0,0,0-2-0-0-0,2
Portugal,39.399872,-8.224454,0,1,1,0,0,0-1-1-0-0,2
France,46.227638,2.213749,0,3,0,0,0,0-3-0-0-0,3
Norway,60.472024,8.468946,0,5,0,0,0,0-5-0-0-0,5
Finland,61.92411,25.748151,0,3,0,0,0,0-3-0-0-0,3
Denmark,56.26392,9.501785,0,3,0,0,0,0-3-0-0-0,3
Cyprus,35.126413,33.429859,0,1,3,0,1,0-1-3-0-1,5
Latvia,56.879635,24.603189,0,5,7,3,4,0-5-7-3-4,19
Lithuania,55.169438,23.881275,0,3,11,2,10,0-3-11-2-10,26
Estonia,58.595272,25.013607,0,5,24,3,5,0-5-24-3-5,37
Sweden,60.128161,18.643501,0,0,2,0,0,0-0-2-0-0,2
Iceland,64.963051,-19.020835,0,1,0,0,0,0-1-0-0-0,1
Slovenia,46.151241,14.995463,0,0,3,3,1,0-0-3-3-1,7
Slovak Republic,48.669026,19.699024,0,1,13,1,11,0-1-13-1-11,26
United Arab Emirates,23.424076,53.847818,0,1,3,0,0,0-1-3-0-0,4
